[19:19:20] [INFO] received Windows console close event; shutting log-core down
[19:19:24] [INFO] received Windows console close event; shutting log-core down
[19:22:46] [INFO] received Windows console close event; shutting log-core down
[19:25:10] [INFO] received Windows console close event; shutting log-core down
[19:25:24] [INFO] received Windows console close event; shutting log-core down
[19:26:34] [INFO] received Windows console close event; shutting log-core down
[19:27:09] [INFO] received Windows console close event; shutting log-core down
[19:28:04] [INFO] received Windows console close event; shutting log-core down
[19:30:11] [INFO] received Windows console close event; shutting log-core down
[19:33:02] [INFO] received Windows console close event; shutting log-core down
[19:34:15] [INFO] received Windows console close event; shutting log-core down
[19:41:00] [INFO] received Windows console close event; shutting log-core down
[19:41:27] [INFO] received Windows console close event; shutting log-core down
[19:41:37] [INFO] received Windows console close event; shutting log-core down
[19:44:24] [INFO] received Windows console close event; shutting log-core down
[19:45:05] [INFO] received Windows console close event; shutting log-core down
[19:56:31] [INFO] received Windows console close event; shutting log-core down
[21:16:14] [INFO] received Windows console close event; shutting log-core down
[21:17:41] [INFO] received Windows console close event; shutting log-core down
[21:18:13] [INFO] received Windows console close event; shutting log-core down
[21:21:59] [INFO] received Windows console close event; shutting log-core down
[21:22:08] [INFO] received Windows console close event; shutting log-core down
[21:22:12] [INFO] received Windows console close event; shutting log-core down
[21:22:16] [INFO] received Windows console close event; shutting log-core down
[23:55:15] [INFO] received Windows console close event; shutting log-core down
[00:07:46] [INFO] received Windows console close event; shutting log-core down
[00:09:32] [INFO] received Windows console close event; shutting log-core down
[00:09:35] [INFO] received Windows console close event; shutting log-core down
[00:10:00] [INFO] received Windows console close event; shutting log-core down
[00:12:05] [INFO] received Windows console close event; shutting log-core down
[00:19:32] [INFO] received Windows console close event; shutting log-core down
[00:19:35] [INFO] received Windows console close event; shutting log-core down
[00:20:23] [INFO] received Windows console close event; shutting log-core down
